Entry	Gene names	Transmembrane
O15342	ATP6V0E1 ATP6H ATP6V0E	TRANSMEM 8 28 Helical. {ECO:0000255}.; TRANSMEM 36 56 Helical. {ECO:0000255}.
Q52LC2	ATP6AP1L	TRANSMEM 147 167 Helical. {ECO:0000255}.
Q15904	ATP6AP1 ATP6IP1 ATP6S1 VATPS1 XAP3	TRANSMEM 420 440 Helical. {ECO:0000255}.
Q6EMK4	VASN SLITL2 UNQ314/PRO357/PRO1282	TRANSMEM 576 596 Helical. {ECO:0000255}.
Q05940	SLC18A2 SVMT VMAT2	TRANSMEM 21 41 Helical. {ECO:0000255}.; TRANSMEM 130 150 Helical. {ECO:0000255}.; TRANSMEM 160 180 Helical. {ECO:0000255}.; TRANSMEM 190 210 Helical. {ECO:0000255}.; TRANSMEM 220 242 Helical. {ECO:0000255}.; TRANSMEM 249 271 Helical. {ECO:0000255}.; TRANSMEM 292 311 Helical. {ECO:0000255}.; TRANSMEM 329 352 Helical. {ECO:0000255}.; TRANSMEM 358 378 Helical. {ECO:0000255}.; TRANSMEM 390 410 Helical. {ECO:0000255}.; TRANSMEM 415 435 Helical. {ECO:0000255}.; TRANSMEM 441 462 Helical. {ECO:0000255}.
Q9BXE9	VN1R3 V1RL3 FKSG46	TRANSMEM 6 26 Helical; Name=1. {ECO:0000255}.; TRANSMEM 52 72 Helical; Name=2. {ECO:0000255}.; TRANSMEM 93 113 Helical; Name=3. {ECO:0000255}.; TRANSMEM 131 151 Helical; Name=4. {ECO:0000255}.; TRANSMEM 188 208 Helical; Name=5. {ECO:0000255}.; TRANSMEM 233 249 Helical; Name=6. {ECO:0000255}.; TRANSMEM 265 285 Helical; Name=7. {ECO:0000255}.
Q7Z5H5	VN1R4 V1RL4	TRANSMEM 6 26 Helical; Name=1. {ECO:0000255}.; TRANSMEM 49 69 Helical; Name=2. {ECO:0000255}.; TRANSMEM 89 109 Helical; Name=3. {ECO:0000255}.; TRANSMEM 127 147 Helical; Name=4. {ECO:0000255}.; TRANSMEM 186 206 Helical; Name=5. {ECO:0000255}.; TRANSMEM 235 255 Helical; Name=6. {ECO:0000255}.; TRANSMEM 265 285 Helical; Name=7. {ECO:0000255}.
Q86Y38	XYLT1 XT1	TRANSMEM 18 38 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
O60507	TPST1	TRANSMEM 9 25 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
Q15035	TRAM2 KIAA0057	TRANSMEM 23 43 Helical. {ECO:0000255}.; TRANSMEM 76 96 Helical. {ECO:0000255}.; TRANSMEM 120 140 Helical. {ECO:0000255}.; TRANSMEM 160 180 Helical. {ECO:0000255}.; TRANSMEM 199 219 Helical. {ECO:0000255}.; TRANSMEM 251 271 Helical. {ECO:0000255}.; TRANSMEM 288 308 Helical. {ECO:0000255}.
B7Z8K6	TRDC	TRANSMEM 130 152 Helical. {ECO:0000255}.
Q7L0X0	TRIL KIAA0644	TRANSMEM 697 717 Helical. {ECO:0000255}.
Q8NER1	TRPV1 VR1	TRANSMEM 434 454 Helical. {ECO:0000250|UniProtKB:O35433}.; TRANSMEM 472 497 Helical. {ECO:0000250|UniProtKB:O35433}.; TRANSMEM 511 531 Helical. {ECO:0000250|UniProtKB:O35433}.; TRANSMEM 536 556 Helical. {ECO:0000250|UniProtKB:O35433}.; TRANSMEM 572 599 Helical. {ECO:0000250|UniProtKB:O35433}.; TRANSMEM 659 687 Helical. {ECO:0000250|UniProtKB:O35433}.
Q9Y5S1	TRPV2 VRL	TRANSMEM 391 411 Helical. {ECO:0000255}.; TRANSMEM 435 455 Helical. {ECO:0000255}.; TRANSMEM 472 492 Helical. {ECO:0000255}.; TRANSMEM 494 514 Helical. {ECO:0000255}.; TRANSMEM 538 558 Helical. {ECO:0000255}.; TRANSMEM 622 642 Helical. {ECO:0000255}.
Q9C0H2	TTYH3 KIAA1691	TRANSMEM 43 63 Helical; Name=1. {ECO:0000255}.; TRANSMEM 87 107 Helical; Name=2. {ECO:0000255}.; TRANSMEM 212 232 Helical; Name=3. {ECO:0000255}.; TRANSMEM 237 257 Helical; Name=4. {ECO:0000255}.; TRANSMEM 387 407 Helical; Name=5. {ECO:0000255}.
Q9NX94	WBP1L C10orf26 OPA1L	TRANSMEM 42 62 Helical. {ECO:0000255}.
P78423	CX3CL1 FKN NTT SCYD1 A-152E5.2	TRANSMEM 342 362 Helical. {ECO:0000255}.
P55808	XG PBDX	TRANSMEM 143 163 Helical. {ECO:0000255}.
P51811	XK XKR1 XRG1	TRANSMEM 3 23 Helical. {ECO:0000255}.; TRANSMEM 38 58 Helical. {ECO:0000255}.; TRANSMEM 69 89 Helical. {ECO:0000255}.; TRANSMEM 141 161 Helical. {ECO:0000255}.; TRANSMEM 172 192 Helical. {ECO:0000255}.; TRANSMEM 209 229 Helical. {ECO:0000255}.; TRANSMEM 236 256 Helical. {ECO:0000255}.; TRANSMEM 278 298 Helical. {ECO:0000255}.; TRANSMEM 318 338 Helical. {ECO:0000255}.; TRANSMEM 350 370 Helical. {ECO:0000255}.
P17948	FLT1 FLT FRT VEGFR1	TRANSMEM 759 780 Helical. {ECO:0000255}.
P35916	FLT4 VEGFR3	TRANSMEM 776 796 Helical. {ECO:0000255}.
Q9P2U7	SLC17A7 BNPI VGLUT1	TRANSMEM 64 84 Helical. {ECO:0000255}.; TRANSMEM 117 137 Helical. {ECO:0000255}.; TRANSMEM 141 161 Helical. {ECO:0000255}.; TRANSMEM 170 190 Helical. {ECO:0000255}.; TRANSMEM 209 229 Helical. {ECO:0000255}.; TRANSMEM 237 257 Helical. {ECO:0000255}.; TRANSMEM 303 323 Helical. {ECO:0000255}.; TRANSMEM 342 362 Helical. {ECO:0000255}.; TRANSMEM 379 399 Helical. {ECO:0000255}.; TRANSMEM 402 422 Helical. {ECO:0000255}.; TRANSMEM 436 456 Helical. {ECO:0000255}.; TRANSMEM 470 490 Helical. {ECO:0000255}.
Q9P2U8	SLC17A6 DNPI VGLUT2	TRANSMEM 72 92 Helical. {ECO:0000255}.; TRANSMEM 126 146 Helical. {ECO:0000255}.; TRANSMEM 149 169 Helical. {ECO:0000255}.; TRANSMEM 178 198 Helical. {ECO:0000255}.; TRANSMEM 217 237 Helical. {ECO:0000255}.; TRANSMEM 245 265 Helical. {ECO:0000255}.; TRANSMEM 311 331 Helical. {ECO:0000255}.; TRANSMEM 350 370 Helical. {ECO:0000255}.; TRANSMEM 387 407 Helical. {ECO:0000255}.; TRANSMEM 410 430 Helical. {ECO:0000255}.; TRANSMEM 444 464 Helical. {ECO:0000255}.; TRANSMEM 478 498 Helical. {ECO:0000255}.
O76024	WFS1	TRANSMEM 314 334 Helical. {ECO:0000255}.; TRANSMEM 340 360 Helical. {ECO:0000255}.; TRANSMEM 402 422 Helical. {ECO:0000255}.; TRANSMEM 427 447 Helical. {ECO:0000255}.; TRANSMEM 465 485 Helical. {ECO:0000255}.; TRANSMEM 496 516 Helical. {ECO:0000255}.; TRANSMEM 529 549 Helical. {ECO:0000255}.; TRANSMEM 563 583 Helical. {ECO:0000255}.; TRANSMEM 589 609 Helical. {ECO:0000255}.; TRANSMEM 632 652 Helical. {ECO:0000255}.; TRANSMEM 870 890 Helical. {ECO:0000255}.
Q5T9L3	WLS C1orf139 GPR177 UNQ85/PRO18667	TRANSMEM 233 253 Helical; Name=1. {ECO:0000255}.; TRANSMEM 269 289 Helical; Name=2. {ECO:0000255}.; TRANSMEM 304 324 Helical; Name=3. {ECO:0000255}.; TRANSMEM 332 352 Helical; Name=4. {ECO:0000255}.; TRANSMEM 381 401 Helical; Name=5. {ECO:0000255}.; TRANSMEM 432 452 Helical; Name=6. {ECO:0000255}.; TRANSMEM 472 492 Helical; Name=7. {ECO:0000255}.
Q658N2	WSCD1 KIAA0523	TRANSMEM 15 35 Helical. {ECO:0000255}.
Q2TBF2	WSCD2 KIAA0789	TRANSMEM 19 41 Helical. {ECO:0000255}.
Q5GH76	XKR4 KIAA1889 XRG4	TRANSMEM 114 134 Helical. {ECO:0000255}.; TRANSMEM 144 164 Helical. {ECO:0000255}.; TRANSMEM 248 268 Helical. {ECO:0000255}.; TRANSMEM 306 326 Helical. {ECO:0000255}.; TRANSMEM 331 351 Helical. {ECO:0000255}.; TRANSMEM 365 385 Helical. {ECO:0000255}.; TRANSMEM 396 418 Helical. {ECO:0000255}.; TRANSMEM 428 448 Helical. {ECO:0000255}.; TRANSMEM 457 477 Helical. {ECO:0000255}.; TRANSMEM 487 507 Helical. {ECO:0000255}.
Q6UX68	XKR5 XRG5 UNQ2754/PRO6493	TRANSMEM 33 53 Helical. {ECO:0000255}.; TRANSMEM 205 225 Helical. {ECO:0000255}.; TRANSMEM 239 259 Helical. {ECO:0000255}.; TRANSMEM 265 285 Helical. {ECO:0000255}.; TRANSMEM 297 317 Helical. {ECO:0000255}.
O14609	XKRY XKRY1	TRANSMEM 1 21 Helical. {ECO:0000255}.; TRANSMEM 45 65 Helical. {ECO:0000255}.; TRANSMEM 72 92 Helical. {ECO:0000255}.
Q9UBH6	XPR1 SYG1 XR	TRANSMEM 237 257 Helical. {ECO:0000255}.; TRANSMEM 265 285 Helical. {ECO:0000255}.; TRANSMEM 319 339 Helical. {ECO:0000255}.; TRANSMEM 346 368 Helical. {ECO:0000255}.; TRANSMEM 377 397 Helical. {ECO:0000255}.; TRANSMEM 403 423 Helical. {ECO:0000255}.; TRANSMEM 474 496 Helical. {ECO:0000255}.; TRANSMEM 508 528 Helical. {ECO:0000255}.
O75063	FAM20B KIAA0475	TRANSMEM 7 25 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
Q9H1B5	XYLT2 XT2 UNQ3058/PRO9878	TRANSMEM 16 36 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
P27449	ATP6V0C ATP6C ATP6L ATPL	TRANSMEM 11 33 Helical. {ECO:0000255}.; TRANSMEM 56 76 Helical. {ECO:0000255}.; TRANSMEM 93 114 Helical. {ECO:0000255}.; TRANSMEM 132 152 Helical. {ECO:0000255}.
P45880	VDAC2	TRANSMEM 37 46 Beta stranded. {ECO:0000250}.; TRANSMEM 50 58 Beta stranded. {ECO:0000250}.; TRANSMEM 65 75 Beta stranded. {ECO:0000250}.; TRANSMEM 80 87 Beta stranded. {ECO:0000250}.; TRANSMEM 91 100 Beta stranded. {ECO:0000250}.; TRANSMEM 106 115 Beta stranded. {ECO:0000250}.; TRANSMEM 122 131 Beta stranded. {ECO:0000250}.; TRANSMEM 134 141 Beta stranded. {ECO:0000250}.; TRANSMEM 148 156 Beta stranded. {ECO:0000250}.; TRANSMEM 161 169 Beta stranded. {ECO:0000250}.; TRANSMEM 174 186 Beta stranded. {ECO:0000250}.; TRANSMEM 189 196 Beta stranded. {ECO:0000250}.; TRANSMEM 200 209 Beta stranded. {ECO:0000250}.; TRANSMEM 213 222 Beta stranded. {ECO:0000250}.; TRANSMEM 229 238 Beta stranded. {ECO:0000250}.; TRANSMEM 242 249 Beta stranded. {ECO:0000250}.; TRANSMEM 253 262 Beta stranded. {ECO:0000250}.; TRANSMEM 265 274 Beta stranded. {ECO:0000250}.; TRANSMEM 284 293 Beta stranded. {ECO:0000250}.
P41587	VIPR2 VIP2R	TRANSMEM 127 151 Helical; Name=1. {ECO:0000255}.; TRANSMEM 159 178 Helical; Name=2. {ECO:0000255}.; TRANSMEM 204 227 Helical; Name=3. {ECO:0000255}.; TRANSMEM 241 262 Helical; Name=4. {ECO:0000255}.; TRANSMEM 280 303 Helical; Name=5. {ECO:0000255}.; TRANSMEM 329 348 Helical; Name=6. {ECO:0000255}.; TRANSMEM 361 380 Helical; Name=7. {ECO:0000255}.
Q9H7M9	VSIR C10orf54 SISP1 VISTA PP2135 UNQ730/PRO1412	TRANSMEM 195 215 Helical. {ECO:0000255}.
P98155	VLDLR	TRANSMEM 798 819 Helical. {ECO:0000255}.
Q96GC9	VMP1 TDC1 TMEM49 HSPC292	TRANSMEM 44 64 Helical. {ECO:0000255}.; TRANSMEM 78 98 Helical. {ECO:0000255}.; TRANSMEM 110 130 Helical. {ECO:0000255}.; TRANSMEM 251 271 Helical. {ECO:0000255}.; TRANSMEM 274 294 Helical. {ECO:0000255}.; TRANSMEM 306 326 Helical. {ECO:0000255}.; TRANSMEM 364 384 Helical. {ECO:0000255}.
Q9GZP7	VN1R1 V1RL1 VNR19I1	TRANSMEM 57 77 Helical; Name=1. {ECO:0000255}.; TRANSMEM 85 105 Helical; Name=2. {ECO:0000255}.; TRANSMEM 133 153 Helical; Name=3. {ECO:0000255}.; TRANSMEM 170 190 Helical; Name=4. {ECO:0000255}.; TRANSMEM 227 247 Helical; Name=5. {ECO:0000255}.; TRANSMEM 275 295 Helical; Name=6. {ECO:0000255}.; TRANSMEM 304 324 Helical; Name=7. {ECO:0000255}.
Q96AW1	VOPP1 ECOP GASP	TRANSMEM 61 81 Helical. {ECO:0000255}.
Q9HBG4	ATP6V0A4 ATP6N1B ATP6N2	TRANSMEM 391 409 Helical. {ECO:0000255}.; TRANSMEM 412 428 Helical. {ECO:0000255}.; TRANSMEM 444 473 Helical. {ECO:0000255}.; TRANSMEM 539 558 Helical. {ECO:0000255}.; TRANSMEM 577 597 Helical. {ECO:0000255}.; TRANSMEM 643 662 Helical. {ECO:0000255}.; TRANSMEM 728 752 Helical. {ECO:0000255}.; TRANSMEM 774 812 Helical. {ECO:0000255}.
Q86Y07	VRK2	TRANSMEM 487 507 Helical; Anchor for type IV membrane protein. {ECO:0000255}.
O00258	WRB CHD5	TRANSMEM 9 29 Helical. {ECO:0000255}.; TRANSMEM 100 120 Helical. {ECO:0000255}.; TRANSMEM 149 169 Helical. {ECO:0000255}.
Q9UPY5	SLC7A11	TRANSMEM 44 64 Helical. {ECO:0000255}.; TRANSMEM 75 95 Helical. {ECO:0000255}.; TRANSMEM 114 134 Helical. {ECO:0000255}.; TRANSMEM 159 179 Helical. {ECO:0000255}.; TRANSMEM 190 210 Helical. {ECO:0000255}.; TRANSMEM 235 255 Helical. {ECO:0000255}.; TRANSMEM 266 286 Helical. {ECO:0000255}.; TRANSMEM 318 338 Helical. {ECO:0000255}.; TRANSMEM 365 385 Helical. {ECO:0000255}.; TRANSMEM 388 408 Helical. {ECO:0000255}.; TRANSMEM 423 443 Helical. {ECO:0000255}.; TRANSMEM 450 470 Helical. {ECO:0000255}.
Q6PP77	XKRX XKR2 XPLAC XRG2	TRANSMEM 35 55 Helical. {ECO:0000255}.; TRANSMEM 68 88 Helical. {ECO:0000255}.; TRANSMEM 98 118 Helical. {ECO:0000255}.; TRANSMEM 174 194 Helical. {ECO:0000255}.; TRANSMEM 202 222 Helical. {ECO:0000255}.; TRANSMEM 241 261 Helical. {ECO:0000255}.; TRANSMEM 269 289 Helical. {ECO:0000255}.; TRANSMEM 306 326 Helical. {ECO:0000255}.; TRANSMEM 357 377 Helical. {ECO:0000255}.; TRANSMEM 382 402 Helical. {ECO:0000255}.
Q5GH77	XKR3 XRG3	TRANSMEM 35 55 Helical. {ECO:0000255}.; TRANSMEM 68 88 Helical. {ECO:0000255}.; TRANSMEM 97 117 Helical. {ECO:0000255}.; TRANSMEM 169 189 Helical. {ECO:0000255}.; TRANSMEM 199 219 Helical. {ECO:0000255}.; TRANSMEM 238 258 Helical. {ECO:0000255}.; TRANSMEM 264 284 Helical. {ECO:0000255}.; TRANSMEM 300 320 Helical. {ECO:0000255}.; TRANSMEM 345 365 Helical. {ECO:0000255}.; TRANSMEM 377 397 Helical. {ECO:0000255}.
Q5GH73	XKR6 C8orf21 C8orf5 C8orf7 XRG6	TRANSMEM 130 150 Helical. {ECO:0000255}.; TRANSMEM 159 179 Helical. {ECO:0000255}.; TRANSMEM 318 338 Helical. {ECO:0000255}.; TRANSMEM 372 392 Helical. {ECO:0000255}.; TRANSMEM 413 433 Helical. {ECO:0000255}.; TRANSMEM 442 462 Helical. {ECO:0000255}.; TRANSMEM 473 493 Helical. {ECO:0000255}.
Q5GH72	XKR7 C20orf159 XRG7	TRANSMEM 59 79 Helical. {ECO:0000255}.; TRANSMEM 89 109 Helical. {ECO:0000255}.; TRANSMEM 260 280 Helical. {ECO:0000255}.; TRANSMEM 314 334 Helical. {ECO:0000255}.; TRANSMEM 355 375 Helical. {ECO:0000255}.; TRANSMEM 384 404 Helical. {ECO:0000255}.; TRANSMEM 415 435 Helical. {ECO:0000255}.
Q9H6D3	XKR8 XRG8	TRANSMEM 13 33 Helical. {ECO:0000255}.; TRANSMEM 48 68 Helical. {ECO:0000255}.; TRANSMEM 159 179 Helical. {ECO:0000255}.; TRANSMEM 201 221 Helical. {ECO:0000255}.; TRANSMEM 224 244 Helical. {ECO:0000255}.; TRANSMEM 260 277 Helical. {ECO:0000255}.; TRANSMEM 285 305 Helical. {ECO:0000255}.; TRANSMEM 313 333 Helical. {ECO:0000255}.
Q5GH70	XKR9 XRG9	TRANSMEM 8 28 Helical. {ECO:0000255}.; TRANSMEM 38 58 Helical. {ECO:0000255}.; TRANSMEM 166 186 Helical. {ECO:0000255}.; TRANSMEM 203 223 Helical. {ECO:0000255}.; TRANSMEM 224 244 Helical. {ECO:0000255}.; TRANSMEM 256 276 Helical. {ECO:0000255}.; TRANSMEM 295 315 Helical. {ECO:0000255}.; TRANSMEM 318 338 Helical. {ECO:0000255}.
A2RUG3	XKRY2	TRANSMEM 12 29 Helical. {ECO:0000255}.; TRANSMEM 45 65 Helical. {ECO:0000255}.; TRANSMEM 72 92 Helical. {ECO:0000255}.
Q9H598	SLC32A1 VGAT VIAAT	TRANSMEM 134 154 Helical. {ECO:0000255}.; TRANSMEM 205 225 Helical. {ECO:0000255}.; TRANSMEM 243 263 Helical. {ECO:0000255}.; TRANSMEM 266 286 Helical. {ECO:0000255}.; TRANSMEM 306 326 Helical. {ECO:0000255}.; TRANSMEM 342 362 Helical. {ECO:0000255}.; TRANSMEM 384 404 Helical. {ECO:0000255}.; TRANSMEM 439 459 Helical. {ECO:0000255}.; TRANSMEM 462 482 Helical. {ECO:0000255}.; TRANSMEM 490 510 Helical. {ECO:0000255}.
Q9BQB6	VKORC1 VKOR MSTP134 MSTP576 UNQ308/PRO351	TRANSMEM 9 29 Helical. {ECO:0000305}.; TRANSMEM 75 95 Helical. {ECO:0000255}.; TRANSMEM 101 123 Helical. {ECO:0000305}.; TRANSMEM 127 149 Helical. {ECO:0000305}.
Q8N0U8	VKORC1L1	TRANSMEM 17 37 Helical. {ECO:0000255}.; TRANSMEM 92 112 Helical. {ECO:0000255}.; TRANSMEM 114 134 Helical. {ECO:0000255}.; TRANSMEM 135 155 Helical. {ECO:0000255}.
Q93050	ATP6V0A1 ATP6N1 ATP6N1A VPP1	TRANSMEM 389 407 Helical. {ECO:0000255}.; TRANSMEM 410 426 Helical. {ECO:0000255}.; TRANSMEM 442 471 Helical. {ECO:0000255}.; TRANSMEM 535 554 Helical. {ECO:0000255}.; TRANSMEM 573 593 Helical. {ECO:0000255}.; TRANSMEM 639 658 Helical. {ECO:0000255}.; TRANSMEM 725 749 Helical. {ECO:0000255}.; TRANSMEM 771 809 Helical. {ECO:0000255}.
A8MXK1	VSTM5 C11orf90	TRANSMEM 148 168 Helical. {ECO:0000255}.
Q96AJ9	VTI1A	TRANSMEM 193 213 Helical. {ECO:0000255}.
P46094	XCR1 CCXCR1 GPR5	TRANSMEM 32 59 Helical; Name=1. {ECO:0000255}.; TRANSMEM 70 89 Helical; Name=2. {ECO:0000255}.; TRANSMEM 104 125 Helical; Name=3. {ECO:0000255}.; TRANSMEM 143 167 Helical; Name=4. {ECO:0000255}.; TRANSMEM 191 209 Helical; Name=5. {ECO:0000255}.; TRANSMEM 226 250 Helical; Name=6. {ECO:0000255}.; TRANSMEM 268 291 Helical; Name=7. {ECO:0000255}.
P35968	KDR FLK1 VEGFR2	TRANSMEM 765 785 Helical. {ECO:0000255}.
Q8NDX2	SLC17A8 VGLUT3	TRANSMEM 77 97 Helical. {ECO:0000255}.; TRANSMEM 131 151 Helical. {ECO:0000255}.; TRANSMEM 154 174 Helical. {ECO:0000255}.; TRANSMEM 183 203 Helical. {ECO:0000255}.; TRANSMEM 222 242 Helical. {ECO:0000255}.; TRANSMEM 250 270 Helical. {ECO:0000255}.; TRANSMEM 315 335 Helical. {ECO:0000255}.; TRANSMEM 354 374 Helical. {ECO:0000255}.; TRANSMEM 391 411 Helical. {ECO:0000255}.; TRANSMEM 414 434 Helical. {ECO:0000255}.; TRANSMEM 448 468 Helical. {ECO:0000255}.; TRANSMEM 482 502 Helical. {ECO:0000255}.
Q3ZAQ7	VMA21 MEAX XMEA	TRANSMEM 26 46 Helical. {ECO:0000255|HAMAP-Rule:MF_03058}.; TRANSMEM 66 86 Helical. {ECO:0000255|HAMAP-Rule:MF_03058}.
P54219	SLC18A1 VAT1 VMAT1	TRANSMEM 22 42 Helical. {ECO:0000255}.; TRANSMEM 139 158 Helical. {ECO:0000255}.; TRANSMEM 168 188 Helical. {ECO:0000255}.; TRANSMEM 198 218 Helical. {ECO:0000255}.; TRANSMEM 228 250 Helical. {ECO:0000255}.; TRANSMEM 257 279 Helical. {ECO:0000255}.; TRANSMEM 300 319 Helical. {ECO:0000255}.; TRANSMEM 336 360 Helical. {ECO:0000255}.; TRANSMEM 366 386 Helical. {ECO:0000255}.; TRANSMEM 398 418 Helical. {ECO:0000255}.; TRANSMEM 423 443 Helical. {ECO:0000255}.; TRANSMEM 449 470 Helical. {ECO:0000255}.
P0DPA2	VSIG8 C1orf204	TRANSMEM 264 284 Helical. {ECO:0000255}.
Q8IW00	VSTM4 C10orf72	TRANSMEM 181 201 Helical. {ECO:0000255}.
Q9UEU0	VTI1B VTI1 VTI1L VTI1L1 VTI2	TRANSMEM 209 229 Helical; Anchor for type IV membrane protein. {ECO:0000255}.
A6NLU5	VSTM2B	TRANSMEM 264 284 Helical. {ECO:0000255}.
Q6ZS81	WDFY4 C10orf64 KIAA1607	TRANSMEM 1627 1647 Helical. {ECO:0000255}.; TRANSMEM 2048 2068 Helical. {ECO:0000255}.
Q9BZH6	WDR11 BRWD2 KIAA1351 WDR15	TRANSMEM 1127 1147 Helical. {ECO:0000255}.
Q53HI1	UNC50 UNCL HSD-23 HSD23	TRANSMEM 83 103 Helical. {ECO:0000255}.; TRANSMEM 116 136 Helical. {ECO:0000255}.; TRANSMEM 164 184 Helical. {ECO:0000255}.; TRANSMEM 188 208 Helical. {ECO:0000255}.; TRANSMEM 223 243 Helical. {ECO:0000255}.
Q6ZN44	UNC5A KIAA1976 UNC5H1	TRANSMEM 307 327 Helical. {ECO:0000255}.
Q8IZJ1	UNC5B P53RDL1 UNC5H2 UNQ1883/PRO4326	TRANSMEM 378 398 Helical. {ECO:0000255}.
O95185	UNC5C UNC5H3	TRANSMEM 381 401 Helical. {ECO:0000255}.
Q9P2D8	UNC79 KIAA1409	TRANSMEM 2223 2243 Helical. {ECO:0000255}.; TRANSMEM 2466 2486 Helical. {ECO:0000255}.
Q13336	SLC14A1 HUT11 JK RACH1 UT1 UTE	TRANSMEM 91 110 Helical. {ECO:0000250}.; TRANSMEM 115 137 Helical. {ECO:0000250}.; TRANSMEM 144 168 Helical. {ECO:0000250}.; TRANSMEM 173 193 Helical. {ECO:0000250}.; TRANSMEM 255 274 Helical. {ECO:0000250}.; TRANSMEM 284 304 Helical. {ECO:0000250}.; TRANSMEM 309 330 Helical. {ECO:0000250}.; TRANSMEM 333 353 Helical. {ECO:0000250}.
Q8NBZ7	UXS1 UNQ2538/PRO6079	TRANSMEM 20 40 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
P47901	AVPR1B AVPR3 VPR3	TRANSMEM 36 59 Helical; Name=1. {ECO:0000255}.; TRANSMEM 72 93 Helical; Name=2. {ECO:0000255}.; TRANSMEM 109 130 Helical; Name=3. {ECO:0000255}.; TRANSMEM 152 173 Helical; Name=4. {ECO:0000255}.; TRANSMEM 202 222 Helical; Name=5. {ECO:0000255}.; TRANSMEM 284 303 Helical; Name=6. {ECO:0000255}.; TRANSMEM 322 341 Helical; Name=7. {ECO:0000255}.
Q86VR7	VSIG10L	TRANSMEM 777 797 Helical. {ECO:0000255}.
Q6UX27	VSTM1 UNQ3033/PRO9835	TRANSMEM 136 156 Helical. {ECO:0000255}.
P0DP72	VSIG10L2	TRANSMEM 704 724 Helical. {ECO:0000255}.
Q7Z7D3	VTCN1 B7H4 UNQ659/PRO1291	TRANSMEM 260 280 Helical. {ECO:0000255}.
O95562	SFT2D2 UNQ512/PRO1027	TRANSMEM 37 57 Helical; Name=1. {ECO:0000255}.; TRANSMEM 64 84 Helical; Name=2. {ECO:0000255}.; TRANSMEM 99 119 Helical; Name=3. {ECO:0000255}.; TRANSMEM 124 144 Helical; Name=4. {ECO:0000255}.
O43556	SGCE ESG UNQ433/PRO840	TRANSMEM 318 338 Helical. {ECO:0000255}.
Q96LD1	SGCZ	TRANSMEM 38 58 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
O95470	SGPL1 KIAA1252	TRANSMEM 41 61 Helical; Signal-anchor for type III membrane protein. {ECO:0000255}.
A6NKW6	SHISAL2B FAM159B	TRANSMEM 65 85 Helical. {ECO:0000255}.
Q6UWI4	SHISA2 C13orf13 TMEM46 UNQ9166/PRO28631	TRANSMEM 111 131 Helical. {ECO:0000255}.
Q96DD7	SHISA4 C1orf40 TMEM58 UNQ583/PRO1153	TRANSMEM 88 108 Helical. {ECO:0000255}.
Q8N114	SHISA5 SCOTIN PSEC0133	TRANSMEM 106 126 Helical. {ECO:0000255}.
Q6AI14	SLC9A4 NHE4	TRANSMEM 95 115 Helical; Name=C/M3. {ECO:0000255}.; TRANSMEM 128 148 Helical; Name=D/M4. {ECO:0000255}.; TRANSMEM 155 175 Helical; Name=E/M5. {ECO:0000255}.; TRANSMEM 197 217 Helical; Name=F/M5A. {ECO:0000255}.; TRANSMEM 227 247 Helical; Name=G/M5B. {ECO:0000255}.; TRANSMEM 271 291 Helical; Name=H/M6. {ECO:0000255}.; TRANSMEM 305 325 Helical; Name=I/M7. {ECO:0000255}.; TRANSMEM 357 373 Helical; Name=J/M8. {ECO:0000255}.; TRANSMEM 385 405 Helical; Name=K/M9. {ECO:0000255}.; TRANSMEM 451 471 Helical; Name=M/M10. {ECO:0000255}.
Q92581	SLC9A6 KIAA0267 NHE6	TRANSMEM 28 48 Helical. {ECO:0000255}.; TRANSMEM 71 91 Helical. {ECO:0000255}.; TRANSMEM 103 123 Helical. {ECO:0000255}.; TRANSMEM 142 162 Helical. {ECO:0000255}.; TRANSMEM 179 199 Helical. {ECO:0000255}.; TRANSMEM 220 240 Helical. {ECO:0000255}.; TRANSMEM 246 266 Helical. {ECO:0000255}.; TRANSMEM 292 312 Helical. {ECO:0000255}.; TRANSMEM 340 360 Helical. {ECO:0000255}.; TRANSMEM 382 402 Helical. {ECO:0000255}.; TRANSMEM 404 424 Helical. {ECO:0000255}.; TRANSMEM 447 467 Helical. {ECO:0000255}.; TRANSMEM 483 503 Helical. {ECO:0000255}.
Q9Y2E8	SLC9A8 KIAA0939 NHE8	TRANSMEM 60 80 Helical. {ECO:0000255}.; TRANSMEM 84 104 Helical. {ECO:0000255}.; TRANSMEM 123 143 Helical. {ECO:0000255}.; TRANSMEM 156 176 Helical. {ECO:0000255}.; TRANSMEM 191 211 Helical. {ECO:0000255}.; TRANSMEM 264 284 Helical. {ECO:0000255}.; TRANSMEM 311 331 Helical. {ECO:0000255}.; TRANSMEM 354 374 Helical. {ECO:0000255}.; TRANSMEM 379 399 Helical. {ECO:0000255}.; TRANSMEM 417 437 Helical. {ECO:0000255}.; TRANSMEM 451 471 Helical. {ECO:0000255}.
